candidate_id,episode_id,variant_id,component,delta,note,final_score
"c=403d1296c942","I6wCuvvaRPI","C0","start_gate",,"hard rejected at start",
"c=88fa00fefcba","I6wCuvvaRPI","C0","start_gate",,"hard rejected at start",
"c=0c6b94e30513","I6wCuvvaRPI","C0","start_gate",,"hard rejected at start",
"c=96ea8019f1d5","I6wCuvvaRPI","C0","start_gate",,"hard rejected at start",
"c=d221a831ff98","I6wCuvvaRPI","C0","start_gate",,"hard rejected at start",
"c=61af689ce18e","I6wCuvvaRPI","C0","start_gate",,"hard rejected at start",
"c=0159d2fa546a","I6wCuvvaRPI","C0","start_gate",,"hard rejected at start",
"c=74d78c93d5fa","I6wCuvvaRPI","C0","start_gate",,"hard rejected at start",
"c=c87b619e7633","GOqEl4ADyVk","C0","start_gate",,"hard rejected at start",
"c=c463cf20cb6f","GOqEl4ADyVk","C0","start_gate",,"hard rejected at start",
"c=60ffcb2236cf","GOqEl4ADyVk","C0","start_gate",,"hard rejected at start",
"c=accb7b3fcd00","GOqEl4ADyVk","C0","start_gate",,"hard rejected at start",
"c=485597b1210b","GOqEl4ADyVk","C0","start_gate",,"hard rejected at start",
"c=9d26b621a34f","GOqEl4ADyVk","C0","start_gate",,"hard rejected at start",
"c=538936b2e616","GOqEl4ADyVk","C0","start_gate",,"hard rejected at start",
"c=4581b681c518","GOqEl4ADyVk","C0","start_gate",,"hard rejected at start",
"c=fbd1bc763d4a","GOqEl4ADyVk","C0","start_gate",,"hard rejected at start",
"c=24d31329eab4","2HLGcRpw1hc","C0","start_gate",,"hard rejected at start",
"c=1ee78f21623a","2HLGcRpw1hc","C0","start_gate",,"hard rejected at start",
"c=4ac046c40e8b","2HLGcRpw1hc","C0","start_gate",,"hard rejected at start",
"c=e7e3a7f65253","2HLGcRpw1hc","C0","start_gate",,"hard rejected at start",
"c=325250eefc6d","2HLGcRpw1hc","C0","start_gate",,"hard rejected at start",
"c=bb6c25c3cc97","2HLGcRpw1hc","C0","start_gate",,"hard rejected at start",
"c=d5a8d94c2768","2HLGcRpw1hc","C0","start_gate",,"hard rejected at start",
"c=9a9beca1058c","2HLGcRpw1hc","C0","start_gate",,"hard rejected at start",
"c=7fef935268ac","2HLGcRpw1hc","C0","start_gate",,"hard rejected at start",
"c=1d3f657a5854","2HLGcRpw1hc","C0","start_gate",,"hard rejected at start",
"c=91a937486ae3","UZ1kCEGjYX0","C0","dim.hook","20","heuristic dimension","55"
"c=91a937486ae3","UZ1kCEGjYX0","C0","dim.curiosity","56","heuristic dimension","55"
"c=91a937486ae3","UZ1kCEGjYX0","C0","dim.emotion","54","heuristic dimension","55"
"c=91a937486ae3","UZ1kCEGjYX0","C0","dim.storytelling","42","heuristic dimension","55"
"c=91a937486ae3","UZ1kCEGjYX0","C0","dim.standalone","86","heuristic dimension","55"
"c=91a937486ae3","UZ1kCEGjYX0","C0","dim.shareability","48","heuristic dimension","55"
"c=91a937486ae3","UZ1kCEGjYX0","C0","dim.clarity","50","heuristic dimension","55"
"c=91a937486ae3","UZ1kCEGjYX0","C0","dim.controversy","49","heuristic dimension","55"
"c=91a937486ae3","UZ1kCEGjYX0","C0","dim.teachingValue","46","heuristic dimension","55"
"c=91a937486ae3","UZ1kCEGjYX0","C0","dim.entertainment","40","heuristic dimension","55"
"c=91a937486ae3","UZ1kCEGjYX0","C0","base_score","55.2","0.55*drivers + 0.45*gates","55"
"c=91a937486ae3","UZ1kCEGjYX0","C0","duration_multiplier","1","piecewise duration curve","55"
"c=e4ed462ee2d0","UZ1kCEGjYX0","C0","start_gate",,"hard rejected at start",
"c=e9ca5e935dbc","UZ1kCEGjYX0","C0","start_gate",,"hard rejected at start",
"c=b0a36c1aa6f7","UZ1kCEGjYX0","C0","start_gate",,"hard rejected at start",
"c=ee8850485cce","UZ1kCEGjYX0","C0","start_gate",,"hard rejected at start",
"c=6e2330173a98","UZ1kCEGjYX0","C0","start_gate",,"hard rejected at start",
"c=9a772ef2b3ca","UZ1kCEGjYX0","C0","start_gate",,"hard rejected at start",
"c=8293a0950af8","UZ1kCEGjYX0","C0","start_gate",,"hard rejected at start",
"c=4298428c2062","UZ1kCEGjYX0","C0","start_gate",,"hard rejected at start",
"c=934df5c89124","UZ1kCEGjYX0","C0","start_gate",,"hard rejected at start",
"c=420db388eb4b","Hb2rKGfIOrM","C0","dim.hook","79","heuristic dimension","66"
"c=420db388eb4b","Hb2rKGfIOrM","C0","dim.curiosity","72","heuristic dimension","66"
"c=420db388eb4b","Hb2rKGfIOrM","C0","dim.emotion","48","heuristic dimension","66"
"c=420db388eb4b","Hb2rKGfIOrM","C0","dim.storytelling","42","heuristic dimension","66"
"c=420db388eb4b","Hb2rKGfIOrM","C0","dim.standalone","70","heuristic dimension","66"
"c=420db388eb4b","Hb2rKGfIOrM","C0","dim.shareability","48","heuristic dimension","66"
"c=420db388eb4b","Hb2rKGfIOrM","C0","dim.clarity","45","heuristic dimension","66"
"c=420db388eb4b","Hb2rKGfIOrM","C0","dim.controversy","30","heuristic dimension","66"
"c=420db388eb4b","Hb2rKGfIOrM","C0","dim.teachingValue","46","heuristic dimension","66"
"c=420db388eb4b","Hb2rKGfIOrM","C0","dim.entertainment","40","heuristic dimension","66"
"c=420db388eb4b","Hb2rKGfIOrM","C0","base_score","70.9","0.55*drivers + 0.45*gates","66"
"c=420db388eb4b","Hb2rKGfIOrM","C0","duration_multiplier","0.925","piecewise duration curve","66"
"c=7ab5199bccef","Hb2rKGfIOrM","C0","start_gate",,"hard rejected at start",
"c=661957b07cac","Hb2rKGfIOrM","C0","start_gate",,"hard rejected at start",
"c=9844f4aaa141","Hb2rKGfIOrM","C0","start_gate",,"hard rejected at start",
"c=17754a36d226","Hb2rKGfIOrM","C0","start_gate",,"hard rejected at start",
"c=181a21d55be6","g2cQ2kD6lzs","C0","dim.hook","33","heuristic dimension","65"
"c=181a21d55be6","g2cQ2kD6lzs","C0","dim.curiosity","64","heuristic dimension","65"
"c=181a21d55be6","g2cQ2kD6lzs","C0","dim.emotion","69","heuristic dimension","65"
"c=181a21d55be6","g2cQ2kD6lzs","C0","dim.storytelling","67","heuristic dimension","65"
"c=181a21d55be6","g2cQ2kD6lzs","C0","dim.standalone","70","heuristic dimension","65"
"c=181a21d55be6","g2cQ2kD6lzs","C0","dim.shareability","48","heuristic dimension","65"
"c=181a21d55be6","g2cQ2kD6lzs","C0","dim.clarity","75","heuristic dimension","65"
"c=181a21d55be6","g2cQ2kD6lzs","C0","dim.controversy","30","heuristic dimension","65"
"c=181a21d55be6","g2cQ2kD6lzs","C0","dim.teachingValue","51","heuristic dimension","65"
"c=181a21d55be6","g2cQ2kD6lzs","C0","dim.entertainment","40","heuristic dimension","65"
"c=181a21d55be6","g2cQ2kD6lzs","C0","base_score","64.6","0.55*drivers + 0.45*gates","65"
"c=181a21d55be6","g2cQ2kD6lzs","C0","duration_multiplier","1","piecewise duration curve","65"
"c=325c3b998344","g2cQ2kD6lzs","C0","start_gate",,"hard rejected at start",
"c=3607586cf74f","g2cQ2kD6lzs","C0","start_gate",,"hard rejected at start",
"c=f52eaf666cb1","g2cQ2kD6lzs","C0","start_gate",,"hard rejected at start",
"c=6ceb32b3834a","g2cQ2kD6lzs","C0","start_gate",,"hard rejected at start",
"c=9bfcef88df7e","g2cQ2kD6lzs","C0","start_gate",,"hard rejected at start",
"c=cf899a0a5269","g2cQ2kD6lzs","C0","start_gate",,"hard rejected at start",
"c=61196f3a5922","g2cQ2kD6lzs","C0","start_gate",,"hard rejected at start",
"c=f07e6a244da9","Ive926sC6mc","C0","dim.hook","22","heuristic dimension","69"
"c=f07e6a244da9","Ive926sC6mc","C0","dim.curiosity","82","heuristic dimension","69"
"c=f07e6a244da9","Ive926sC6mc","C0","dim.emotion","54","heuristic dimension","69"
"c=f07e6a244da9","Ive926sC6mc","C0","dim.storytelling","88","heuristic dimension","69"
"c=f07e6a244da9","Ive926sC6mc","C0","dim.standalone","46","heuristic dimension","69"
"c=f07e6a244da9","Ive926sC6mc","C0","dim.shareability","48","heuristic dimension","69"
"c=f07e6a244da9","Ive926sC6mc","C0","dim.clarity","84","heuristic dimension","69"
"c=f07e6a244da9","Ive926sC6mc","C0","dim.controversy","30","heuristic dimension","69"
"c=f07e6a244da9","Ive926sC6mc","C0","dim.teachingValue","51","heuristic dimension","69"
"c=f07e6a244da9","Ive926sC6mc","C0","dim.entertainment","59","heuristic dimension","69"
"c=f07e6a244da9","Ive926sC6mc","C0","base_score","69.3","0.55*drivers + 0.45*gates","69"
"c=f07e6a244da9","Ive926sC6mc","C0","duration_multiplier","0.996","piecewise duration curve","69"
"c=004125b3d651","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=86144e9f6d7c","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=fa4b940ebea8","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=3de206aea8a7","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=2c2570029319","Ive926sC6mc","C0","dim.hook","42","heuristic dimension","68"
"c=2c2570029319","Ive926sC6mc","C0","dim.curiosity","56","heuristic dimension","68"
"c=2c2570029319","Ive926sC6mc","C0","dim.emotion","66","heuristic dimension","68"
"c=2c2570029319","Ive926sC6mc","C0","dim.storytelling","58","heuristic dimension","68"
"c=2c2570029319","Ive926sC6mc","C0","dim.standalone","86","heuristic dimension","68"
"c=2c2570029319","Ive926sC6mc","C0","dim.shareability","48","heuristic dimension","68"
"c=2c2570029319","Ive926sC6mc","C0","dim.clarity","79","heuristic dimension","68"
"c=2c2570029319","Ive926sC6mc","C0","dim.controversy","49","heuristic dimension","68"
"c=2c2570029319","Ive926sC6mc","C0","dim.teachingValue","66","heuristic dimension","68"
"c=2c2570029319","Ive926sC6mc","C0","dim.entertainment","59","heuristic dimension","68"
"c=2c2570029319","Ive926sC6mc","C0","base_score","68.1","0.55*drivers + 0.45*gates","68"
"c=2c2570029319","Ive926sC6mc","C0","duration_multiplier","0.991","piecewise duration curve","68"
"c=f36aee07fbca","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=15bc4db7c71c","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=d20e78763052","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=3b416b15c9b5","Ive926sC6mc","C0","dim.hook","79","heuristic dimension","80"
"c=3b416b15c9b5","Ive926sC6mc","C0","dim.curiosity","69","heuristic dimension","80"
"c=3b416b15c9b5","Ive926sC6mc","C0","dim.emotion","100","heuristic dimension","80"
"c=3b416b15c9b5","Ive926sC6mc","C0","dim.storytelling","46","heuristic dimension","80"
"c=3b416b15c9b5","Ive926sC6mc","C0","dim.standalone","66","heuristic dimension","80"
"c=3b416b15c9b5","Ive926sC6mc","C0","dim.shareability","48","heuristic dimension","80"
"c=3b416b15c9b5","Ive926sC6mc","C0","dim.clarity","62","heuristic dimension","80"
"c=3b416b15c9b5","Ive926sC6mc","C0","dim.controversy","30","heuristic dimension","80"
"c=3b416b15c9b5","Ive926sC6mc","C0","dim.teachingValue","51","heuristic dimension","80"
"c=3b416b15c9b5","Ive926sC6mc","C0","dim.entertainment","59","heuristic dimension","80"
"c=3b416b15c9b5","Ive926sC6mc","C0","base_score","80.1","0.55*drivers + 0.45*gates","80"
"c=3b416b15c9b5","Ive926sC6mc","C0","duration_multiplier","1","piecewise duration curve","80"
"c=9ce745240bd3","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=22249d26020b","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=732e4ad5f7ef","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=ff14d31e95b7","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=74d58e09e618","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=10c31cb4400e","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=39809f08d870","Ive926sC6mc","C0","start_gate",,"hard rejected at start",
"c=efc96b5ff357","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=0b7365711665","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=a9454d171520","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=7ad4c7ea26e1","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=34a26a170074","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=ed3006ecb613","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=af2c9767dfc9","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=d84c8ed84c1d","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=5344309f5035","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=f88e817e3405","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=01d19a20f680","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=bc972bc28ba9","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=0b8036e74010","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=4aadfdb28614","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=f2b09412b76a","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=75eefcbb5637","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=1913d2cef342","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=61f36afc88b9","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=8da1ffee2f07","3NSC5nps3OM","C0","start_gate",,"hard rejected at start",
"c=034b191a2b7e","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=cb087f1e340a","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=d67f3fddfe4c","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=2a12042ef32f","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=8b967ae58864","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=f730573bb1ef","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=7c024252d888","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=b99c5bdeb83a","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=da859c20ba8d","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=f0dba52b54f9","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=6b1e99b64f87","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=c8d4b9bd438e","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=507346fbf19c","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=f716e4066232","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=ddf22c69f046","XuoqKYxDHVc","C0","start_gate",,"hard rejected at start",
"c=c4e9f380fafc","LAmGfokvgzA","C0","start_gate",,"hard rejected at start",
"c=77c85268ffbb","LAmGfokvgzA","C0","start_gate",,"hard rejected at start",
"c=a7e7e1cca9e3","LAmGfokvgzA","C0","start_gate",,"hard rejected at start",
"c=eb368cc6e1d1","LAmGfokvgzA","C0","start_gate",,"hard rejected at start",
"c=b8377085968f","LAmGfokvgzA","C0","start_gate",,"hard rejected at start",
"c=37b93f6222b1","LAmGfokvgzA","C0","start_gate",,"hard rejected at start",
"c=f22fba8fcc22","LAmGfokvgzA","C0","start_gate",,"hard rejected at start",
"c=8541af1b8ff1","LAmGfokvgzA","C0","start_gate",,"hard rejected at start",
"c=e932e163453e","vs6x8VUGXCw","C0","start_gate",,"hard rejected at start",
"c=64361bf4b27e","vs6x8VUGXCw","C0","start_gate",,"hard rejected at start",
"c=e8b3fe5ed20d","vs6x8VUGXCw","C0","start_gate",,"hard rejected at start",
